position,u_velocity,v_velocity
0,NaN,NaN
0.0019569471,-0.0004832847,NaN
0.0039138943,-0.0013239093,NaN
0.0058708414,-0.002143358,NaN
0.007827789,-0.002942213,NaN
0.009784736,-0.003721387,NaN
0.011741683,-0.0044815904,NaN
0.01369863,-0.0052238987,NaN
0.015655577,-0.005949079,NaN
0.017612524,-0.0066582295,NaN
0.019569471,-0.0073525133,NaN
0.021526419,-0.008032973,NaN
0.023483366,-0.008701009,NaN
0.025440313,-0.009357657,NaN
0.02739726,-0.010004319,NaN
0.029354207,-0.010642416,NaN
0.031311154,-0.011273081,NaN
0.0332681,-0.011897634,NaN
0.03522505,-0.012517255,NaN
0.037181996,-0.013133072,NaN
0.039138943,-0.013745979,NaN
0.04109589,-0.014357102,NaN
0.043052837,-0.014967168,NaN
0.045009784,-0.01557676,NaN
0.04696673,-0.016186295,NaN
0.04892368,-0.016796337,NaN
0.050880626,-0.017406786,NaN
0.052837573,-0.018017933,NaN
0.05479452,-0.018629529,NaN
0.056751467,-0.019241212,NaN
0.058708414,-0.019852605,NaN
0.06066536,-0.020463362,NaN
0.06262231,-0.021072809,NaN
0.064579256,-0.021680122,NaN
0.0665362,-0.02228456,NaN
0.06849315,-0.022885183,NaN
0.0704501,-0.02348115,NaN
0.072407044,-0.024071386,NaN
0.07436399,-0.024654862,NaN
0.07632094,-0.025230648,NaN
0.078277886,-0.025797443,NaN
0.08023483,-0.026354231,NaN
0.08219178,-0.026900064,NaN
0.08414873,-0.027433768,NaN
0.086105675,-0.02795429,NaN
0.08806262,-0.02846064,NaN
0.09001957,-0.028951552,NaN
0.091976516,-0.02942607,NaN
0.09393346,-0.029883211,NaN
0.09589041,-0.030322174,NaN
0.09784736,-0.030742245,NaN
0.099804305,-0.031142341,NaN
0.10176125,-0.031521976,NaN
0.1037182,-0.031880546,NaN
0.105675146,-0.032217275,NaN
0.10763209,-0.03253161,NaN
0.10958904,-0.032823265,NaN
0.11154599,-0.033091966,NaN
0.113502935,-0.033337213,NaN
0.11545988,-0.03355902,NaN
0.11741683,-0.033757158,NaN
0.119373776,-0.03393177,NaN
0.12133072,-0.03408277,NaN
0.12328767,-0.034210503,NaN
0.12524462,-0.034315206,NaN
0.12720157,-0.034397237,NaN
0.12915851,-0.03445688,NaN
0.13111547,-0.034494944,NaN
0.1330724,-0.03451183,NaN
0.13502936,-0.03450819,NaN
0.1369863,-0.034484684,NaN
0.13894325,-0.034442276,NaN
0.1409002,-0.034381635,NaN
0.14285715,-0.03430365,NaN
0.14481409,-0.034209356,NaN
0.14677104,-0.034099415,NaN
0.14872798,-0.033974964,NaN
0.15068494,-0.03383685,NaN
0.15264188,-0.033686157,NaN
0.15459883,-0.03352391,NaN
0.15655577,-0.033351064,NaN
0.15851273,-0.033168625,NaN
0.16046967,-0.032977376,NaN
0.16242662,-0.032778613,NaN
0.16438356,-0.032572925,NaN
0.16634052,-0.032361347,NaN
0.16829745,-0.03214462,NaN
0.17025441,-0.031923853,NaN
0.17221135,-0.031699613,NaN
0.1741683,-0.03147273,NaN
0.17612524,-0.031243855,NaN
0.1780822,-0.031013729,NaN
0.18003914,-0.03078302,NaN
0.18199609,-0.030552216,NaN
0.18395303,-0.030321859,NaN
0.18590999,-0.030092416,NaN
0.18786693,-0.029864442,NaN
0.18982388,-0.029638197,NaN
0.19178082,-0.029414149,NaN
0.19373778,-0.029192543,NaN
0.19569471,-0.028973762,NaN
0.19765167,-0.02875791,NaN
0.19960861,-0.028545136,NaN
0.20156556,-0.028335784,NaN
0.2035225,-0.028129874,NaN
0.20547946,-0.027927466,NaN
0.2074364,-0.027728852,NaN
0.20939335,-0.027533751,NaN
0.21135029,-0.0273423,NaN
0.21330725,-0.027154358,NaN
0.21526419,-0.026969973,NaN
0.21722114,-0.02678911,NaN
0.21917808,-0.026611837,NaN
0.22113504,-0.026437934,NaN
0.22309197,-0.02626734,NaN
0.22504893,-0.026099853,NaN
0.22700587,-0.02593553,NaN
0.22896282,-0.02577405,NaN
0.23091976,-0.025615295,NaN
0.23287672,-0.025459282,NaN
0.23483366,-0.025305893,NaN
0.23679061,-0.025154904,NaN
0.23874755,-0.02500616,NaN
0.2407045,-0.024859501,NaN
0.24266145,-0.024714865,NaN
0.2446184,-0.02457197,NaN
0.24657534,-0.024430744,NaN
0.2485323,-0.024291039,NaN
0.25048923,-0.024152903,NaN
0.25244617,-0.02401588,NaN
0.25440314,-0.023880204,NaN
0.25636008,-0.023745397,NaN
0.25831702,-0.02361162,NaN
0.26027396,-0.023478633,NaN
0.26223093,-0.023346493,NaN
0.26418787,-0.023214884,NaN
0.2661448,-0.023084005,NaN
0.26810175,-0.022953542,NaN
0.27005872,-0.022823323,NaN
0.27201566,-0.022693396,NaN
0.2739726,-0.022563824,NaN
0.27592954,-0.022434393,NaN
0.2778865,-0.022305112,NaN
0.27984345,-0.022175837,NaN
0.2818004,-0.022046547,NaN
0.28375733,-0.021917198,NaN
0.2857143,-0.021787839,NaN
0.28767124,-0.021658408,NaN
0.28962818,-0.021528784,NaN
0.29158512,-0.021398945,NaN
0.2935421,-0.02126892,NaN
0.29549903,-0.02113858,NaN
0.29745597,-0.021007864,NaN
0.2994129,-0.020876933,NaN
0.30136988,-0.020745663,NaN
0.30332682,-0.02061405,NaN
0.30528376,-0.020482177,NaN
0.3072407,-0.020349871,NaN
0.30919766,-0.020217221,NaN
0.3111546,-0.020084118,NaN
0.31311154,-0.019950714,NaN
0.31506848,-0.019816758,NaN
0.31702545,-0.019682502,NaN
0.3189824,-0.019547772,NaN
0.32093933,-0.019412728,NaN
0.32289627,-0.019277053,NaN
0.32485324,-0.019141022,NaN
0.32681018,-0.019004535,NaN
0.32876712,-0.018867545,NaN
0.33072406,-0.018730057,NaN
0.33268103,-0.018592108,NaN
0.33463797,-0.018453686,NaN
0.3365949,-0.018314842,NaN
0.33855185,-0.01817542,NaN
0.34050882,-0.018035524,NaN
0.34246576,-0.017895231,NaN
0.3444227,-0.017754326,NaN
0.34637964,-0.017612945,NaN
0.3483366,-0.017471047,NaN
0.35029355,-0.017328652,NaN
0.3522505,-0.017185697,NaN
0.35420743,-0.017042307,NaN
0.3561644,-0.016898325,NaN
0.35812134,-0.016753757,NaN
0.36007828,-0.016608655,NaN
0.3620352,-0.01646307,NaN
0.36399218,-0.016316893,NaN
0.36594912,-0.016170144,NaN
0.36790606,-0.016022852,NaN
0.369863,-0.015874924,NaN
0.37181997,-0.01572641,NaN
0.3737769,-0.015577264,NaN
0.37573385,-0.015427646,NaN
0.3776908,-0.015277371,NaN
0.37964776,-0.015126595,NaN
0.3816047,-0.014975145,NaN
0.38356164,-0.014823227,NaN
0.38551858,-0.014670549,NaN
0.38747555,-0.014517257,NaN
0.3894325,-0.014363297,NaN
0.39138943,-0.014208882,NaN
0.39334637,-0.014053826,NaN
0.39530334,-0.013898041,NaN
0.39726028,-0.013741657,NaN
0.39921722,-0.013584538,NaN
0.40117416,-0.0134267965,NaN
0.40313113,-0.013268502,NaN
0.40508807,-0.013109474,NaN
0.407045,-0.012949928,NaN
0.40900195,-0.012789686,NaN
0.41095892,-0.012628755,NaN
0.41291586,-0.012467117,NaN
0.4148728,-0.012304885,NaN
0.41682974,-0.012142003,NaN
0.4187867,-0.011978395,NaN
0.42074364,-0.011814148,NaN
0.42270058,-0.011649201,NaN
0.42465752,-0.011483657,NaN
0.4266145,-0.011317504,NaN
0.42857143,-0.011150663,NaN
0.43052837,-0.010983049,NaN
0.4324853,-0.01081492,NaN
0.43444228,-0.010646084,NaN
0.43639922,-0.010476592,NaN
0.43835616,-0.010306388,NaN
0.4403131,-0.0101356795,NaN
0.44227007,-0.009964182,NaN
0.444227,-0.00979212,NaN
0.44618395,-0.009619463,NaN
0.4481409,-0.009446049,NaN
0.45009786,-0.00927212,NaN
0.4520548,-0.009097504,NaN
0.45401174,-0.0089223515,NaN
0.45596868,-0.008746527,NaN
0.45792565,-0.008570093,NaN
0.4598826,-0.008392939,NaN
0.46183953,-0.008215288,NaN
0.46379647,-0.008037014,NaN
0.46575344,-0.007858213,NaN
0.46771038,-0.0076788166,NaN
0.46966732,-0.007498895,NaN
0.47162426,-0.007318457,NaN
0.47358122,-0.007137404,NaN
0.47553816,-0.0069558388,NaN
0.4774951,-0.0067737736,NaN
0.47945204,-0.0065910313,NaN
0.481409,-0.006407823,NaN
0.48336595,-0.0062241764,NaN
0.4853229,-0.0060400735,NaN
0.48727983,-0.0058554485,NaN
0.4892368,-0.0056703296,NaN
0.49119374,-0.005484775,NaN
0.49315068,-0.0052987947,NaN
0.49510762,-0.005112191,NaN
0.4970646,-0.004925265,NaN
0.49902153,-0.004737906,NaN
0.50097847,-0.0045501,NaN
0.5029354,-0.0043619983,NaN
0.50489235,-0.0041733934,NaN
0.5068493,-0.003984467,NaN
0.5088063,-0.0037950978,NaN
0.5107632,-0.0036055325,NaN
0.51272017,-0.0034155173,NaN
0.5146771,-0.0032251752,NaN
0.51663405,-0.0030345311,NaN
0.518591,-0.002843541,NaN
0.5205479,-0.0026522917,NaN
0.52250487,-0.0024607219,NaN
0.52446187,-0.0022689516,NaN
0.5264188,-0.0020768573,NaN
0.52837574,-0.0018845197,NaN
0.5303327,-0.0016919625,NaN
0.5322896,-0.0014991807,NaN
0.53424656,-0.0013061203,NaN
0.5362035,-0.001113005,NaN
0.53816044,-0.000919675,NaN
0.54011744,-0.0007261634,NaN
0.5420744,-0.0005325376,NaN
0.5440313,-0.00033868747,NaN
0.54598826,-0.0001447346,NaN
0.5479452,0.000049293092,NaN
0.54990214,0.00024349442,NaN
0.5518591,0.00043774236,NaN
0.553816,0.00063204055,NaN
0.555773,0.0008264188,NaN
0.55772996,0.0010208996,NaN
0.5596869,0.0012153427,NaN
0.56164384,0.0014098543,NaN
0.5636008,0.0016044528,NaN
0.5655577,0.0017990156,NaN
0.56751466,0.0019934308,NaN
0.5694716,0.0021879235,NaN
0.5714286,0.0023823162,NaN
0.57338554,0.0025767344,NaN
0.5753425,0.002771102,NaN
0.5772994,0.0029653953,NaN
0.57925636,0.0031595656,NaN
0.5812133,0.0033537426,NaN
0.58317024,0.0035476668,NaN
0.5851272,0.0037415419,NaN
0.5870842,0.0039353645,NaN
0.5890411,0.0041290116,NaN
0.59099805,0.0043225647,NaN
0.592955,0.0045158425,NaN
0.59491193,0.004709009,NaN
0.5968689,0.0049019307,NaN
0.5988258,0.0050948854,NaN
0.60078275,0.0052874773,NaN
0.60273975,0.005479891,NaN
0.6046967,0.0056719943,NaN
0.60665363,0.005864074,NaN
0.6086106,0.0060557215,NaN
0.6105675,0.006247234,NaN
0.61252445,0.006438446,NaN
0.6144814,0.0066294204,NaN
0.6164383,0.0068201614,NaN
0.6183953,0.0070107062,NaN
0.62035227,0.0072009047,NaN
0.6223092,0.0073908763,NaN
0.62426615,0.007580567,NaN
0.6262231,0.007769929,NaN
0.62818,0.007958891,NaN
0.63013697,0.00814764,NaN
0.6320939,0.0083361035,NaN
0.6340509,0.008524222,NaN
0.63600785,0.008712143,NaN
0.6379648,0.008899607,NaN
0.6399217,0.00908691,NaN
0.64187866,0.009273646,NaN
0.6438356,0.009460184,NaN
0.64579254,0.009646334,NaN
0.6477495,0.0098320795,NaN
0.6497065,0.010017552,NaN
0.6516634,0.0102026565,NaN
0.65362036,0.010387369,NaN
0.6555773,0.010571769,NaN
0.65753424,0.010755874,NaN
0.6594912,0.010939559,NaN
0.6614481,0.011122948,NaN
0.66340506,0.011305868,NaN
0.66536206,0.011488547,NaN
0.667319,0.01167086,NaN
0.66927594,0.011852809,NaN
0.6712329,0.012034529,NaN
0.6731898,0.012215831,NaN
0.67514676,0.012396755,NaN
0.6771037,0.012577326,NaN
0.67906064,0.012757586,NaN
0.68101764,0.01293753,NaN
0.6829746,0.013117067,NaN
0.6849315,0.013296374,NaN
0.68688846,0.013475295,NaN
